DATE,ATXRSA
2001-01-01,107.072559004743
2001-02-01,107.43119916608299
2001-03-01,107.818068295692
2001-04-01,108.35488527886999
2001-05-01,108.647883454086
2001-06-01,109.306009320529
2001-07-01,109.670454233887
2001-08-01,110.19150272175699
2001-09-01,110.66910410104799
2001-10-01,111.054376491635
2001-11-01,111.176223362321
2001-12-01,111.29758320203001
2002-01-01,111.669465090899
2002-02-01,112.278622496262
2002-03-01,112.69657389164699
2002-04-01,112.77556832296699
2002-05-01,112.94044947373001
2002-06-01,113.25315518050199
2002-07-01,113.66749964991199
2002-08-01,114.022845610364
2002-09-01,114.169981418831
2002-10-01,114.60005829988998
2002-11-01,114.92704096760599
2002-12-01,115.259416666328
2003-01-01,115.654662369499
2003-02-01,115.95719021083099
2003-03-01,116.683116436641
2003-04-01,116.601464005282
2003-05-01,116.85559770118601
2003-06-01,116.821560920086
2003-07-01,117.036785451368
2003-08-01,117.32148675213499
2003-09-01,117.72357379671001
2003-10-01,118.028713541323
2003-11-01,118.445064515944
2003-12-01,118.69385296110201
2004-01-01,119.296714994156
2004-02-01,119.57427732037901
2004-03-01,120.15148883950899
2004-04-01,120.865723806578
2004-05-01,120.940635718328
2004-06-01,120.894845919021
2004-07-01,121.290294194767
2004-08-01,121.72477172654399
2004-09-01,122.2428042231
2004-10-01,122.72444172999901
2004-11-01,123.23301999854601
2004-12-01,123.948582214103
2005-01-01,124.636499200604
2005-02-01,125.44429333649299
2005-03-01,126.190519011082
2005-04-01,127.006781037057
2005-05-01,127.29128567545
2005-06-01,127.81546553965299
2005-07-01,127.764284797474
2005-08-01,127.92554878668301
2005-09-01,127.945637899244
2005-10-01,128.847007321924
2005-11-01,129.745783410944
2005-12-01,130.705013565922
2006-01-01,131.708861462176
2006-02-01,132.337068779721
2006-03-01,132.651979143533
2006-04-01,132.949934266443
2006-05-01,133.024874009018
2006-06-01,133.098528042035
2006-07-01,133.143373390334
2006-08-01,133.077881078834
2006-09-01,133.042581352168
2006-10-01,133.703786238845
2006-11-01,134.077817215453
2006-12-01,134.64714393261698
2007-01-01,134.983973795408
2007-02-01,135.605897307974
2007-03-01,135.86281289514602
2007-04-01,136.123009747719
2007-05-01,135.406212265476
2007-06-01,134.892016069968
2007-07-01,134.09171207294202
2007-08-01,133.562761156226
2007-09-01,133.045691581233
2007-10-01,132.670412523519
2007-11-01,131.362759283927
2007-12-01,130.442211192757
2008-01-01,129.699193008464
2008-02-01,128.70574108784402
2008-03-01,127.496006784272
2008-04-01,125.60193504627199
2008-05-01,124.627330259792
2008-06-01,123.07912913820499
2008-07-01,121.93944061148899
2008-08-01,121.095544781765
2008-09-01,120.120541304515
2008-10-01,118.682862607957
2008-11-01,116.698884758392
2008-12-01,113.978267816674
2009-01-01,111.453071225716
2009-02-01,109.40123294152
2009-03-01,108.07018856431999
2009-04-01,107.308825464564
2009-05-01,106.132892737482
2009-06-01,105.853947719282
2009-07-01,107.096808295506
2009-08-01,107.91882235943501
2009-09-01,108.74292596759899
2009-10-01,109.165955203494
2009-11-01,109.793055801946
2009-12-01,109.837395761786
2010-01-01,109.27021511264601
2010-02-01,108.723074533454
2010-03-01,107.022365480432
2010-04-01,107.61339664413401
2010-05-01,107.82675200285601
2010-06-01,107.504468611598
2010-07-01,106.648437189872
2010-08-01,105.390425005219
2010-09-01,103.950897863227
2010-10-01,102.54247294617599
2010-11-01,101.51722697650801
2010-12-01,101.39935754379101
2011-01-01,102.53352507225
2011-02-01,103.80944805638
2011-03-01,103.62542386718201
2011-04-01,103.565205350215
2011-05-01,102.546094480205
2011-06-01,101.94791992113501
2011-07-01,101.204318351756
2011-08-01,98.65608588516399
2011-09-01,93.88126913615801
2011-10-01,90.683325812586
2011-11-01,89.696460417143
2011-12-01,88.58905885430599
2012-01-01,87.32088856392599
2012-02-01,85.864388738787
2012-03-01,85.155017080084
2012-04-01,85.716367994051
2012-05-01,87.505664150317
2012-06-01,89.60938245991801
2012-07-01,91.246687438968
2012-08-01,92.78925937252701
2012-09-01,94.15891368231199
2012-10-01,95.172923543169
2012-11-01,96.54286298847799
2012-12-01,97.37122469306
2013-01-01,99.011378112785
2013-02-01,99.872619307486
2013-03-01,101.01630473022499
2013-04-01,103.189249995937
2013-05-01,104.930960354965
2013-06-01,106.76904580313801
2013-07-01,108.46577295417801
2013-08-01,110.28908795152
2013-09-01,112.064275192876
2013-10-01,113.327392349156
2013-11-01,114.285300806886
2013-12-01,114.937765396749
2014-01-01,115.44698374674999
2014-02-01,115.58702777593099
2014-03-01,116.409443268361
2014-04-01,116.797717070308
2014-05-01,116.489821525898
2014-06-01,116.189207917722
2014-07-01,116.203703446484
2014-08-01,116.55160566799101
2014-09-01,117.40239654122801
2014-10-01,118.479862401815
2014-11-01,119.739858915371
2014-12-01,120.581169353555
2015-01-01,120.92721788361901
2015-02-01,121.609285776922
2015-03-01,122.118314909615
2015-04-01,122.118863421483
2015-05-01,122.42695128469299
2015-06-01,122.87536310031601
2015-07-01,123.50854782091601
2015-08-01,123.76259069928999
2015-09-01,124.93941921517799
2015-10-01,125.73748195080299
2015-11-01,126.389207372156
2015-12-01,126.929038233005
2016-01-01,127.76733786175
2016-02-01,128.774253175823
2016-03-01,129.391675918732
2016-04-01,129.680463581738
2016-05-01,130.089903920015
2016-06-01,130.22392368235
2016-07-01,130.436429206397
2016-08-01,130.72795240382
2016-09-01,131.809837285804
2016-10-01,133.058977867052
2016-11-01,133.774941415128
2016-12-01,134.501911819312
2017-01-01,134.874889264599
2017-02-01,135.557728251068
2017-03-01,136.17294640864202
2017-04-01,136.958318089001
2017-05-01,137.181742016682
2017-06-01,137.396357778427
2017-07-01,137.794248240506
2017-08-01,138.191173510578
2017-09-01,139.358408930615
2017-10-01,139.867354365573
2017-11-01,140.670570148085
2017-12-01,141.648752404784
2018-01-01,143.453901600381
